时间及产品型号,评论内容
2024年6月4日 · 智能眼镜2【金丝光学镜】发布会新品！.,很不错，信赖华为拥有华为
2024年6月4日 · 智能眼镜2【飞行员光学镜】发布会新品！.,真的非常好用，续航时间非常长，声音也特别的清晰，做工精巧细致，体验感很好，支持华为！！！
2024年6月5日 · 智能眼镜2【方形半框光学镜】发布会新品！,总体来说还是很不错的，戴上自动连接，用处多多，钓鱼、上班摸鱼、陪娃睡觉都很好用，电量正常使用能用一两天，主要充电很快，洗澡的时候充一下就差不多了，功能方面就是眼镜➕耳机，镜腿肯定是比正常眼镜要粗一点的但是不会觉得很重，戴惯细腿镜框的可能会不习惯。
2024年6月5日 · 智能眼镜2【飞行员光学镜】发布会新品！.,买给家人的，实物如图，比想象中轻，接听电话方便也清楚，值得入手。
2024年6月5日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜不错，还配了近视镜，效果还是不错的，客服君君服务也很到位
2024年6月5日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜做工很好，佩戴舒适，连接速度很快，音质蛮不错的，总体比较满意
2024年6月5日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜用了一段时间了，非常好，戴着舒服
2024年6月5日 · 智能眼镜2【飞行员光学镜】发布会新品！.,真的遥遥领先 领先的不是一点点 音质也很不错 佩戴舒适度也很棒 搭配水果手机也可以畅快听歌 真的是摸鱼神器 飞行员款上脸也特别好看
2024年6月5日 · 智能眼镜2【飞行员光学镜】发布会新品！.,真的很好，比想象中的音质效果好太多了！！！就像耳边有个千元级的音响！ 舒适度：很舒服用起来几乎无感，做工也很棒，挺满意的
2024年6月6日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜不错，給配了镜片，少了不少麻烦，挺好
2024年6月7日 · 智能眼镜2【方形半框光学镜】发布会新品！,又帮朋友买了一副，愉快的购物经历，发货很快，原装正品。
2024年6月7日 · 智能眼镜2【方形无框光学镜】.发布会新品！,眼镜很好是正品，比官网便宜，还送东西
2024年6月7日 · 智能眼镜2【飞行员光学镜】+飞行员2亮黑色前框,连最基本的更换工具都不给，叫我自己去服务区更换镜框。
2024年6月7日 · 智能眼镜2【飞行员光学镜】发布会新品！.,很轻戴着很舒服，华为大品牌 国货之光 音质也很好卖家服务态度好 发货快
2024年6月7日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜非常好 度数配的十分合适 客服君君的服务也很到一次非常满意的购买过程
2024年6月7日 · 智能眼镜2【飞行员光学镜】发布会新品！.,音质很清晰，店家发货速度超级快 很满意戴上特别舒服 华为大品牌 值得信赖
2024年6月9日 · 智能眼镜2【金丝光学镜】发布会新品！.,挺好的～跟线下体验店一样的
2024年7月11日 · 智能眼镜2【方形半框光学镜】发布会新品！,非常好的智能眼镜，卖家服务很好，客服也很热情。一次很愉快的购物。
2024年7月11日 · 智能眼镜2【飞行员光学镜】发布会新品！,送给男朋友的生日礼物，他带上超级帅气！音质很不错，接听电话也很方便，他很喜欢这个眼镜～希望未来华为的智能眼镜可以实现镜片翻译，去各国旅行就不愁了～
2024年7月13日 · 智能眼镜2【方形半框光学镜】发布会新品！,佩戴舒适 操作方便 值得购买！
2024年7月13日 · 智能眼镜2【方形半框光学镜】发布会新品！,很好，很不错，值得这价格，后续关注下…………………………………
2024年7月13日 · 智能眼镜2【飞行员光学镜】发布会新品！,已经用过一段时间了，效果不错�，客服服务有耐心，解答详细，赞一个
2024年7月14日 · 智能眼镜2【方形无框光学镜】.发布会新品！,在这家买的第二个了，质量很好，还会再来的
2024年7月16日 · 【加99元送前框到手价1449】飞行员光学镜2+飞行员2黑白渐变前框,可以，非常好。这眼睛，挺智能的。 蓝牙功能  很放心，真好用！
2024年7月16日 · 智能眼镜2【方形半框光学镜】发布会新品！,带起来又清晰  又时尚  音质很好 墨镜一带  谁也不爱
2024年7月17日 · 智能眼镜2【方形半框光学镜】发布会新品！,作为一名华为智能眼镜2的用户，我深深地感受到了这款产品的魅力和实用性。从我第一次戴上它开始，它就为我带来了全新的智能体验。 首先，它的蓝牙连接功能真的非常方便。我可以轻松地将手机与眼镜连接，无论是接收消息还是查看通知，都变得轻而易举。而且，它的语音交互功能也让我感到十分惊喜。现在，我只需简单地说出指令，就能打电话、听音乐、查询天气，感觉就像有了一个随身的智能助手。
2024年7月17日 · 智能眼镜2【飞行员光学镜】发布会新品！,说下感受，外观不错，重量也很轻，感觉和普通眼镜没太大区别。续航的话，一天10小时的耗电量在50%左右，充电很快。隔音效果比较好，音质一般，但满足我的日常需求，个人感觉算能提升生活便捷度的电子产品。
2024年7月17日 · 智能眼镜2【飞行员光学镜】发布会新品！,非常方便，选的是可以变色的镜片，有紫外线可以颜色变深。还可以更换有度数的镜片，音效也不错，骑车不戴耳机，戴眼镜更安全，开车的时候戴着也很方便。
2024年7月18日 · 智能眼镜2【钛空光学镜】发布会新品！,每天总有几次来电播报响一秒就没声儿了，门店售后也查不出问题，有人遇到同样问题吗？
2024年7月19日 · 智能眼镜2【金丝光学镜】发布会新品！.,真的很好看，也非常实用，直接在店里配的镜片也很方便。客服态度也很好！
2024年7月19日 · 智能眼镜2【钛空光学镜】发布会新品！,平常开车戴，好用声音清晰，帅气便捷，华为值得性赖。
2024年7月19日 · 智能眼镜2【飞行员光学镜】发布会新品！,卖家发货很速度！这个带着很方便，眼睛上带耳机，而且实物真的很好看
2024年7月1日 · 智能眼镜2【钛空光学镜】发布会新品！,很惊艳的眼镜，感觉比1要轻，银色渐变很漂亮。
2024年7月1日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,非常牛的一个智能眼镜！！！值得拥有
2024年7月20日 · 【加129元送前框到手价1479】飞行员光学镜+飞行员2墨镜前框,华为智能眼镜把蓝牙耳机与眼镜合一，非常好。续航能力也很强，设计比较美观大方，开车使用平时使用都合适.
2024年7月20日 · 智能眼镜2【方形半框光学镜】发布会新品！,音质比1代还要差比较大。不推荐，镜腿夹得耳朵疼，特别是运动的时候，基本上没办法使用。使用时间是长起来了，但是低音基本没有，可能是镜腿改窄了的原因。完全不值得购买，还不如骨传导耳机来的好！
2024年7月21日 · 智能眼镜2【方形无框光学镜】.发布会新品！,客服阿絮很热情，眼镜通话音质还是挺好的，折叠眼镜盒携带挺方便！总体比较满意！
2024年7月23日 · 【加129元送前框到手价1479】飞行员光学镜+飞行员2墨镜前框,眼镜非常好看，华为高科技，喜欢，期待越来越智能。
2024年7月24日 · 飞行员光学眼镜2+【防蓝光镜片 1.67 非球面】,对华为产品失望透顶   真不如Xiaomi产品好    镜框容易断   镜框的质量也参差不齐
2024年7月25日 · 智能眼镜2【方形半框光学镜】发布会新品！,服务很好 眼镜清晰 物流快
2024年7月26日 · 智能眼镜2【金丝光学镜】发布会新品！.,看了好久这个智能眼镜了，终于验光之后下单了。用了两天简单说一下体验感受，舒适度上肯定是不如普通眼镜，毕竟镜腿粗了，刚开始戴上会有点儿不适，但是适应一段时间就好了。我配的近视镜片，商家给安装好邮过来的。续航方面，今天一天，上午只连了蓝牙没听歌，到中午电量还显示百分之百，中午十二点半到晚上开始断断续续听歌，到晚上十点，电量还有百分之六十二，这个续航非常可以了，不干啥可以坚持三四天，要是一直使用的话我觉得得一天一充吧，就跟手机似的。这款眼镜确实是摸鱼好帮手啊�接打电话音质很不错，音量只要开的不是很大，基本不会漏音。客服很负责，有问必答，态度很好。总体来说非常满意了，对于近视的人来说我觉得确实很值得入手。
2024年7月27日 · 智能眼镜2【方形无框光学镜】.发布会新品！,全新的眼镜，挺不错的，很好玩，音质不错，安静环境下，不能声音大
2024年7月2日 · 智能眼镜2【方形无框光学镜】.发布会新品！,华为智能眼镜，带上之后爱不释手，特别的对近视的人来说简直是福音，稍微比普通眼镜重一点，带习惯之后完全不在需要蓝牙耳机，就是有时候打电话别人会以为在跟他说话
2024年7月2日 · 智能眼镜2【金丝光学镜】发布会新品！.,配的近视镜片，很棒的体验，和我原有的一样，很专业。 音质也试了，很棒。
2024年7月31日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,眼镜比想象中轻，声音清晰，使用方便，发货快速值得推荐。
2024年7月3日 · 智能眼镜2【金丝光学镜】发布会新品！.,商家的售后服务是真的慢
2024年7月3日 · 智能眼镜2【金丝光学镜】发布会新品！.,眼镜很漂亮，重量轻，戴上舒服，没有不适感，对过程中的产品服务也很满意！
2024年7月4日 · 智能眼镜2【方形半框光学镜】发布会新品！,音質不錯，但是容易漏音
2024年7月5日 · 智能眼镜2【钛空光学镜】发布会新品！,发货快，音质好，戴着轻。
2024年7月5日 · 智能眼镜2【飞行员光学镜】发布会新品！,真不错，续航比上一代长了不少，用一天到晚上还有电，镜腿也细了
2024年7月7日 · 【加99元送前框到手价1449】飞行员光学镜2+飞行员2亮黑色前框,确实很不错，充满电可以维持一到二天的使用，适合各种环境，值得下手
2024年7月8日 · 智能眼镜2【方框太阳镜】2024新品发售,买了两个，戴眼镜的话真心挺好，免得戴尔耳机了
2024年7月8日 · 智能眼镜2【飞行员光学镜】发布会新品！,他们家大家可千万别买，我买完之后，镜腿和近视镜片是分开发货的，大家想想，你在他家买完眼镜和近视镜片之后，到货还得自己组装或者找眼睛店去安镜片！一开始我要退回让他们安好发过来，客服说这样太麻烦，让我找本地眼镜店安，不行费用他们出。然后我到货找眼睛店安了，回头他们就不认了，我的退费申请直接给我拒了。好家伙跟我玩一次性买卖是吗？我已经申请店小二介入了，之后再投诉卖家，既然不能好聚好散，那OK，我就跟你们杠上了，所有对话我都有截图，想输都输不了。我为我说的话负法律责任！
2024年7月8日 · 智能眼镜2【飞行员光学镜】发布会新品！,先来一波图赏特写： 镜腿，鼻梁，鼻托，铰链 镜腿外侧印有HUAWEI的logo，在镜腿上引入了全新同向双振膜单元，实现减少漏音；还囊括了抗风降噪导管，全新的双麦克风黄金布局，眼镜可以更清晰的拾取声音，对方听得更清楚，很赞��
2024年8月10日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜很好，很喜欢，带着比较好看的！
2024年8月10日 · 智能眼镜2【钛空光学镜】发布会新品！,颜值ok的，骑车也能听音乐，不错
2024年8月12日 · 智能眼镜2【方形半框光学镜】发布会新品！,体验感很好 也不存在漏音，电量很耐用也不压耳朵
2024年8月12日 · 智能眼镜2【金丝光学镜】发布会新品！.,眼镜佩戴很舒适，颜值担当，终于不用随身带蓝牙耳机了！
2024年8月13日 · 智能眼镜2【方形半框光学镜】发布会新品！,快递及时，眼镜定制镜片质量很好，还能选变色的，眼镜腿贴着耳边听的清晰，
2024年8月13日 · 智能眼镜2【方形无框光学镜】.发布会新品！,非常好用，眼镜的款式也很时尚。 买来做礼物很合适，科技改变生活
2024年8月13日 · 智能眼镜2【金丝光学镜】发布会新品！.,绝对好，绝对哈，实物与描述的一样，质量相当好，卖家态度也好，有问必答，发货速度杠杠的，值得购买哦，怎么说呢，就是非常方便。哈哈哈哈哈哈哈！
2024年8月13日 · 智能眼镜2【钛空光学镜】发布会新品！,给老公的礼物，非常满意，实用好看，值得购买
2024年8月14日 · 【加99元送前框到手价1449】飞行员光学镜2+飞行员2透灰色前框,华为智能眼镜，戴上之后爱不释手，特别的对近视的人来说简直是福音，稍微比普通眼镜重一点，戴习惯之后完全不再需要蓝牙耳机，就是有时候打电话别人会以为在跟他说话
2024年8月14日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,超级好 体验感挺好推荐购买哦 镜框挺轻
2024年8月15日 · 智能眼镜2【方形半框光学镜】发布会新品！,镜片防蓝光，蓝牙语音清晰，佩戴非常舒适！
2024年8月15日 · 智能眼镜2【金丝光学镜】发布会新品！.,很好，这个最好的功能我觉得是开车使用，周围环境音也不影响开车，各种使用都很满意，好评！做工，现在华为是真的可以了！很好用，华为生态再加一员！
2024年8月15日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜带了一段时间非常好，接打电话解放双手，随时随地听音乐很nice！
2024年8月15日 · 智能眼镜2【飞行员光学镜】发布会新品！,是送朋友的生日礼物，我自己也有一款，因为用的非常好，所以觉得送朋友很适合。待机和音效都不错，而且链接速度也快。客服服务好，顺丰快
2024年8月15日 · 智能眼镜2【飞行员光学镜】发布会新品！,最近工作学习需要一个隐蔽又省心的设备方便播放音频，耳机又过于显眼，试用了同事的骨传导总感觉差一点，华为这款眼镜就刚好切中了我的需求！ 本来就佩戴眼镜，漏音也不明显，飞行家镜框更是自带酷炫风。虽然作为苹果用户有一些功能没法实现，但总体来说还是非常满意的。 相较于非常满意的外观，音质也还算差强人意，“智能眼镜”还有点距离，但作为一副自带耳机功能的眼镜已经做得很好(๑•̀ㅂ•́)و✧如果漏音能控制得再好一点就更接近完美了。 购物过程很愉快，客服很耐心，而且帮忙配好镜片本来预计一周结果三四天就到手了。希望这副眼镜可以陪伴我更久！
2024年8月16日 · 智能眼镜2【钛空光学镜】发布会新品！,华为的这款眼睛性价比特别高，钛金属的特别轻，目前在我看来各方面都比较突出，比较符合我的购物需求，无论是从样式还是性能都是非常棒的
2024年8月16日 · 智能眼镜2【钛空光学镜】发布会新品！,钛金属的只能说遥遥领先，语音播报功能太实用了，我用的都是华为，真的是太棒了，比卖水果那个牌子强多了。
2024年8月18日 · 智能眼镜2【方形半框光学镜】发布会新品！,很智能，老公心心念念的，他很喜欢。客服态度也很好，效率的很，支持国货。支持华为。
2024年8月19日 · 智能眼镜2【方形无框光学镜】.发布会新品！,头一天拍的，第二天就拿到了。用着不错，比想象的好，我觉得重量还可以。
2024年8月19日 · 智能眼镜2【钛空光学镜】发布会新品！,物流很快今天买第二天就到了 很时尚也很轻这种材质带上去很舒服音质也可以 值得推荐
2024年8月20日 · 智能眼镜2【钛空光学镜】发布会新品！,带着很轻没有看上去哪个重 材料用的好 声音也很清晰 听听音乐打打电话很方便 遥遥领先吧
2024年8月22日 · 智能眼镜2【钛空光学镜】发布会新品！,尊敬的各位，我想借此机会表达我对愉快交易的深深赞赏。这并非一次简单的交易，而是一次充满信任、尊重和公平的交涉过程，它所体现出的价值远超过物质的交易本身。  首先，我要赞扬所有参与这次交易的人们。你们的专业技能、敬业精神和高效执行力让我深受启发。你们对细节的关注，对质量的追求，对时间的尊重，都让我感受到了你们的专业和执着。你们的努力和付出，使得这次交易能够顺利进行，成果超出预期。  其次，我要感谢这次交易的组织者和协调者。你们的高效组织和卓越协调能力，使得各方能够顺利、有效地进行交流和合作。你们的智慧和努力，让这次交易得以圆满完成。  我要特别赞扬这次交易的公平和透明。每一方都充分表达了自己的诉求，每一方都在公平和公正的环境中得到了应有的回报。这种公平和透明，不仅让每一方都感到满意，也为我们建立了长久的信任和友谊。  总的来说，这次愉快的交易让我深深感受到了团队的力量，感受到了公平交易的价值。我期待在未来的日子里，我们能够再次携手，共同创造更多的成功和喜悦。让我们继续保持这种积极、公平、透明的交易精神，共同创造更美好的未来。
2024年8月23日 · 智能眼镜2【飞行员光学镜】发布会新品！,也许个人对音质要求不高，反正试戴听了一会歌，感觉音质效果很OK，清晰无噪音对耳朵很友好，疯狂爱上这种神奇高科技哈哈哈，就是镜腿有点粗，虽然不重但如果要作为日常光学镜来佩戴的话还是不太方便，期待未来继续升级改良，把镜腿做薄
2024年8月24日 · 智能眼镜2【钛空光学镜】发布会新品！,配个眼镜片，请问是多难配的东西吗？说的配镜片需3-4天，我说好，结果五天了不催就没动静，第四天问，就回复在催会加急，第五天去问，客服依然回复催催，真是服了，后来我说你们再不发货就差评，才给我转了售后说去问配镜师，合着之前干啥了，催了个啥？然后没多久发货了，这处理效率发货速度真差评。 眼镜还行，线下店没啥差。
2024年8月25日 · 智能眼镜2【金丝光学镜】发布会新品！.,可以，比想象中的要好很多，
2024年8月25日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,不光正品还有赠品，很不错，顺丰发货，快
2024年8月26日 · 智能眼镜2【钛空光学镜】发布会新品！,眼睛很不错，整体重量很轻，戴了一天不累。耳机听起来很清晰，接听，挂断，音量调节都很方便方便。听歌音质也不错。总体来说还是不错的！
2024年8月31日 · 智能眼镜2【钛空光学镜.】发布会新品！,很轻，真的惊艳到我了，这款镜框我选了很久，也对比了其他品牌的，还是更信任华为，华为已经占据了我的大半个领域，华为的手机，华为的耳机，华为的眼镜等等，这款智能眼镜效果非常的好，不过钛空款价格是一点点贵，客户的服务态度也非常的好，不厌其烦的解答，我只是试戴了一下其他功能，等以后进一步试戴过后再来追加评价，喜欢的亲们可以下手了，确实会给你不一样的体验。
2024年8月31日 · 智能眼镜2【飞行员光学镜】发布会新品！,华为眼睛2的外观设计非常时尚，简约而不失个性。镜框采用轻量化材料，佩戴起来几乎没有负担，长时间使用也不会感到不适。     续航表现也让我感到惊喜。充满电后可以使用一天，满足了**常的需求。此外，眼镜的防水设计也让我在户外活动时更加安心，不用担心意外的天气变化。
2024年8月4日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,卖家服务贴心周到，十分满意，五星好评！
2024年8月5日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,颜值巅峰，摸鱼神器，哈哈哈，小伙伴们羡慕忌妒恨中。
2024年8月5日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,比3代的腿细了，耳朵应该会更舒服点，墨镜扣上去方便很多
2024年8月6日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,给爸爸买的生日礼物，非常满意。爸爸是老花粉了，他说这个眼镜还挺好玩的，送的墨镜夹片也很实用，如果是他自己肯定舍不得买。希望华为能够一直推陈出新，会一直买来让爸爸开心的！
2024年8月7日 · 智能眼镜2【钛空光学镜】发布会新品！,服务态度很好，镜片有破损，可以及时补发，功能也不错，省了带耳机了
2024年9月11日 · 【加99元送前框到手价1449】飞行员光学镜2+飞行员2灰白渐变前框,如果镜架耳朵那块能窄一点，会更好，更舒适。太宽了，有点不舒服。希望改进，华为华为，中华有为。
2024年9月14日 · 智能眼镜2【方形无框光学镜.】发布会新品！,正品 非常好用这个价格也便宜 还给我换了镜片防蓝光  佩戴舒适度可以
2024年9月16日 · 智能眼镜2【方形半框光学镜.】发布会新品！,东西质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物。
2024年9月16日 · 智能眼镜2【方形无框光学镜.】发布会新品！,虽然用的是苹果，但连接也很快，音质也很好，又是酷酷的眼镜又能听歌谁不爱
2024年9月17日 · 智能眼镜2【金丝光学镜】发布会新品！.,跟我华为店里买的不太一样，自己戴着边骑车边戴着眼镜四周嘈杂声没有，这个店铺买的让我老公戴着不仅把鼻子压出两个印子，可难看了，而且发语音，对方说没声音，打电话嘈杂声很重，感觉和正品有区别
2024年9月18日 · 智能眼镜2【钛空光学镜.】发布会新品！,非常好，发货很快，客服态度很好
2024年9月20日 · 智能眼镜2【飞行员光学镜.】发布会新品！,送人的，非常方便好看！直接配好了装好，包装完整！！
2024年9月21日 · 飞行员光学眼镜2+【送飞行员墨镜夹片.】,挺好的 很轻，声音很清楚，不最大别人基本听不到。  好评  满意
2024年9月25日 · 金丝光学眼镜2+【送墨镜夹片】,"宝贝收到了，卖家发货很快，物流也非常给力,客服服务态度极好，很满意。"
2024年9月25日 · 飞行员光学眼镜2+【送飞行员墨镜夹片.】,试戴了一上午用的挺舒服的，使用也和宣传的那样，真的挺好用，打电话听歌旁边的人都听不到，而且带着颜值也在线，服务也很贴心，
2024年9月26日 · 智能眼镜2【方形无框光学镜.】发布会新品！,放口袋里，没想到镜片那么易碎。质量是真的差。客服不是这个不在，就是那个不在。说真的，处理事情是真的慢。我直接去眼镜店配，回来折腾还要500块钱，真是很让人无语。所以要买的要考虑清楚是不是需要了。
2024年9月28日 · 智能眼镜2【钛空光学镜.】发布会新品！,物流快，客服服务好，智能眼镜很赞，听歌接电话方便，推荐
2024年9月3日 · 智能眼镜2【方形无框光学镜】.发布会新品！,音质是可以。漏音测试：音量调到一半大小，就算在家里安静的环境下两个人保持社交距离也不会漏音太多，只会在仔细听的时候发现有声音，但是也不会听清楚具体的内容，这方面做的很不错了。 希望华为能做的越来越好。
2024年9月3日 · 飞行员光学眼镜2+【送飞行员墨镜夹片】,好！非常好！质量好，和实体店一样，颜色正，是我喜欢的
2024年9月5日 · 【加99元送前框到手价1449】飞行员光学镜2+飞行员2黑白渐变前框,比想象中好，整体不重，音质佳，眼镜度效最好还是配小一些，因为要听歌怕久了头晕。���
2024年9月5日 · 智能眼镜2【钛空光学镜】发布会新品！,华为眼镜是我近期最满意的一款产品，其独特的设计和实用性让我印象深刻。首先，它的外观时尚，佩戴舒适，长时间使用也不会感到不适。其次，它的功能强大，不仅可以接听电话，查看信息，还可以消息播报。它的续航能力也令人惊喜，一次充电可以使用很长时间。
2024年9月5日 · 金丝光学眼镜2+【送墨镜夹片.】,很不错的一个产品，祝华为越来越好。
2024年9月6日 · 【加99元送前框到手价1449】飞行员光学镜2+飞行员2黑白渐变前框,迫不及待的带上了，真的超出意外的喜欢。值得购买
2024年9月7日 · 智能眼镜2【金丝光学镜】发布会新品！,眼镜是正品 带着很舒服 而且听歌声音很大。很美观
2024年9月9日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜不错很方便，配镜寄来试戴后也寄回去调整，总体来说比较负责任，佩戴很舒适
2024年9月9日 · 智能眼镜2【飞行员光学镜.】发布会新品！,用起来不错，不漏音，戴起来很舒适
2025年1月10日 · 【加购送价值269元前框.】钛空光学镜+飞行员2透灰色前框,眼镜是正品，声音挺清晰，听音乐效果更好，客服夏日服务非常好，值得购买
2025年1月12日 · 智能眼镜2【方形半框光学镜】发布会新品！,蓝牙方便连接，音质扛得住，声音外漏小，性价比不错，有不懂的咨询客服阿絮也及时解答回复.还挺满意的
2025年1月13日 · 智能眼镜2【方形半框光学镜】发布会新品！,看中好久决定入手了，买回来戴了一周了，感觉很不错，接打电话非常方便。戴起来没有不适。
2025年1月13日 · 智能眼镜2【金丝光学镜】发布会新品！,产品喜欢，链接配对易上手，用着不错，开车用着方便，金丝框的感觉好看，戴着洋气，喜欢的小伙伴可以加购
2025年1月13日 · 智能眼镜2【金丝光学镜】发布会新品！,收到眼镜了 很惊喜 男朋友很喜欢
2025年1月14日 · 金丝光学眼镜2【加购送墨镜夹片.】,使用了一下感觉很好，带上去比较舒服，声音的音质清晰。客服阿絮服务也很好。
2025年1月15日 · 智能眼镜2【方形半框光学镜】发布会新品！,华为智能眼镜2的实用性和续航表现都很不错，外观也符合我的审美，整体很不错，希望华为继续优化产品，带来更多实用功能。
2025年1月15日 · 智能眼镜2【金丝光学镜】发布会新品！,眼镜收到了，第一天下午下单，第二天上午就收到了，非常满意。大大的赞。
2025年1月17日 · 智能眼镜2【方形无框光学镜.】发布会新品！,一直带无框的眼镜，这回配的正好也是无框镜体，商家还免费给配的变色近视镜片，整体价格太美丽了。佩戴舒适，做工很精细！续航持久，使用了2个多小时才用了不到20%的电量。在商场很嘈杂的环境听音频略微逊色，需要用手捂着点儿耳朵才能听清对方说话，但对方听我说话非常清楚，降噪处理的非常完美！安静环境下听歌电话一点问题都没有。
2025年1月18日 · 【加购送价值269元前框.】钛空光学镜+飞行员2透灰色前框,正品全新 相信华为，所以选择华为 店家服务很好
2025年1月18日 · 智能眼镜2【钛空光学镜】发布会新品！,发货很快，已经收到货了，商品和描述的差不多，质量没问题，关键价格也合适，在这里买还是很放心的，好评！
2025年1月19日 · 智能眼镜2【方形半框光学镜】发布会新品！,整体质量科技感都很不错，佩戴也还算舒适，不太重，新鲜事物尝试下还是很有乐趣
2025年1月19日 · 智能眼镜2【钛空光学镜】发布会新品！,商品很好，音质不错，连接灵敏方便，产品正品。
2025年1月19日 · 飞行员光学眼镜2【加购送飞行员墨镜夹片】,产品设计太出色了，充满了创意和实用性。产品质量极佳，每一个部件都堪称完美。服务态度亲切友善，小礼物也很用心，非常棒！
2025年1月20日 · 智能眼镜2【方形半框光学镜】发布会新品！,华为眼镜确实不错，声音请晰，颜值也高，电量续航时间还可以。期待更好的使用体验。
2025年1月20日 · 智能眼镜2【金丝光学镜】发布会新品！,眼镜看起来很有质感，用起来也方便，唯一就是声音外扩比较大，如果对隐私比较在意的话可能会介意
2025年1月22日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜很好，以为重量会有点重结果比很轻，音质很好。很喜欢推荐推荐
2025年1月23日 · 智能眼镜2【钛空光学镜】发布会新品！,第二次复购，华为质量毋庸置疑，店家服务好，价格公道合理！
2025年1月24日 · 金丝光学眼镜2【加购送夜间驾驶夹片】,眼镜很好用快递也很快音质也挺好的很方便用起来
2025年1月27日 · 智能眼镜2【方形半框光学镜】发布会新品！,拍了方形半框眼镜，又和客服商量不要镜片换成飞行员前框，收到后在当地眼镜店配了变色近视镜片。试用感受:第一次连接手机后下次只要戴上就直接连接到手机；接打电话很方便，尤其是在开车接打电话时安全而且方便；通话清晰，在嘈杂的集市上可调大音量或者在智慧生活APP里打开相关设置里。
2025年1月27日 · 智能眼镜2【方形半框光学镜】发布会新品！,音质很好，不漏音，商家也不错，送的近视镜片，好评
2025年1月29日 · 智能眼镜2【飞行员光学镜】发布会新品！,这几年买了五六万的华为产品就属这眼镜和当年的MATE50PRO最差  眼镜音质很差 而且漏音实在有些严重 音量调到30％以上距离半米内就会听的很清楚  别说摸鱼了简直是毫无隐私好吧  另外镜腿粗就不说了 松松垮垮的还很滑 两分钟就要扶正一次贼难受 传统的眼镜我有七八副从两百到两千价位都有  从来没有出现过这种情况   本来挺期待的到手第三天就不想戴了 还不如直接戴个蓝牙耳机  这产品简直了 买华为东西基本很少评价 这个是真难绷 有想买的慎重吧 这玩意最多值499 多花一分钱都是冤种
2025年1月31日 · 智能眼镜2【方形半框光学镜】发布会新品！,买来玩玩，还是不带摄像头的智能眼镜好，户外看抖音听歌神器，i人之友
2025年1月4日 · 【加购送价值269元前框】飞行员光学镜+飞行员2墨镜前框,续航时间长   解放双手  打电话不用拿手机了
2025年1月4日 · 【加购送价值269元前框】飞行员光学镜2+飞行员2透灰色前框,效果很可以，杠杠的，66666
2025年1月4日 · 智能眼镜2【钛空光学镜】发布会新品！,非常好，质量好，服务更好，很耐心的服务，外观精美，通话清晰，操作灵敏.
2025年1月5日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜不错，非常喜欢，得赞一下。
2025年1月8日 · 智能眼镜2【方形半框光学镜】发布会新品！,使用很方便，解放双手，链接华为智慧生活有更多功能
2025年1月9日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜收到了 特别惊艳 科技感十足 听小说打电话声音都很清晰 客服特别有耐心 讲解怎么连接手机 华为真牛会一直支持华为
2025年2月10日 · 智能眼镜2【方形半框光学镜】发布会新品！,华为眼镜超棒，声音清晰无比�，小电驴骑行听歌毫无阻碍，绝对的物超所值！
2025年2月10日 · 智能眼镜2【方框太阳镜】2024款,眼睛非常不错，音质很好，虽然耳机外放音杜绝不了，私密性差点意思，但可以接受。送的镜框和镜片也是不错，赞！
2025年2月11日 · 智能眼镜2【方形半框光学镜】发布会新品！,声音很清晰，接打电话听歌，很方便，不用担心会影响到别人。
2025年2月11日 · 智能眼镜2【方形无框光学镜.】发布会新品！,收到了，很喜欢，华为一直都是国货一流品牌，品质更是无话可说啦
2025年2月11日 · 智能眼镜2【金丝光学镜】发布会新品！,东西收到了 客服很贴心.
2025年2月12日 · 智能眼镜2【方形无框光学镜.】发布会新品！,配的无框镜体，商家还免费给配的变色近视镜片，整体价格太美丽了。佩戴舒适，做工很精细！客服很满意，快递也很快。眼镜盒牛。
2025年2月13日 · 飞行员光学眼镜2【加购送飞行员夜间驾驶夹片】,正品无疑，质量过硬，卖家服务好发货快，价格实惠，总之，一切都很满意�
2025年2月14日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜很漂亮，音质也很好，很满意！
